1	4456	5456	1	1	1	41	0	16
1	13814	13905	1	1	1	16	0	28
1	19322	19530	1	1	1	94	0	25
1	27642	28089	1	1	1	98	0	13
1	28294	28364	1	1	1	60	1	21
1	29977	30145	1	1	1	59	0	9
1	40047	40134	1	1	1	106	0	19
1	40782	40884	1	1	1	188	0	28
1	138358	140119	1	1	0	69	0	15
1	143432	143562	1	1	1	63	0	6
1	148314	149449	1	1	1	26	0	7
1	149549	149633	1	1	1	21	0	27
1	149743	149855	1	1	1	107	0	21
1	171096	171405	2	2	1	2	0	14
1	172922	173003	2	2	1	36	0	16
1	189991	190086	2	2	1	64	0	24
1	193162	193247	1	1	1	143	0	16
1	208274	208407	2	2	1	42	0	18
1	209897	210243	1	1	1	122	0	3
1	210891	211014	1	1	1	134	0	29
1	213640	213740	1	1	1	0	59	25
1	249957	250616	2	2	1	129	0	20
1	267803	267879	1	1	1	138	0	14
1	291780	291858	1	1	1	9	0	24
1	320237	321467	1	1	1	42	0	11
1	321649	321927	1	1	1	271	0	27
1	360311	360394	1	1	1	140	0	26
1	361321	361400	1	1	1	110	0	3
1	361503	362544	1	1	1	1	0	21
1	363299	364301	1	1	1	148	0	16
1	366698	367090	1	1	1	129	0	28
1	369470	369552	1	1	1	52	0	17
1	374030	374114	1	1	1	131	0	16
1	417603	417775	2	2	1	219	0	22
1	417851	417919	2	2	1	144	0	27
1	425756	426501	1	1	0	35	0	17
1	428694	428792	1	1	1	137	0	13
1	428913	429585	1	1	1	131	0	15
1	430312	430925	1	1	1	84	0	17
1	443218	445165	1	1	1	117	0	23
1	446250	446572	1	1	1	97	0	14
1	447470	448665	1	1	1	251	0	20
1	448780	448850	1	1	1	232	0	12
1	496292	496376	2	2	1	1	2	29
1	514459	514557	2	2	1	109	0	20
1	515522	515597	2	2	1	185	0	16
1	517778	517873	2	2	1	101	0	14
1	518129	518230	2	2	1	11	0	10
1	518359	519644	2	2	1	1	0	19
1	520101	520185	2	2	1	35	0	10
1	520216	520323	2	2	1	35	0	18
1	520645	520870	2	2	1	62	0	14
1	525311	525388	2	2	1	101	0	4
1	550131	550215	1	1	1	149	0	26
1	550294	550394	1	1	1	55	0	20
1	550773	551101	1	1	1	76	0	28
1	551202	551416	1	1	1	127	0	15
1	551826	552032	1	1	1	147	0	3
1	591903	592658	1	1	1	15	0	14
1	592854	592938	1	1	1	101	0	5
1	593050	593115	1	1	1	156	0	18
1	604130	604301	2	2	1	268	0	21
1	613464	615046	1	1	1	23	0	14
1	641380	641464	2	2	1	83	0	9
1	641719	641825	2	2	1	1	0	9
1	642047	642140	2	2	1	135	2	26
1	721654	722726	1	1	0	127	0	23
1	930242	930327	2	2	1	96	0	19
1	930774	931037	2	2	1	0	145	22
1	931207	931460	2	2	1	0	81	22
1	931961	932046	2	2	1	0	77	26
1	932600	933068	2	2	1	170	1	14
1	1017708	1017804	0	0	1	0	98	18
1	1017710	1017806	1	1	1	0	98	20
1	1024571	1025329	1	1	1	134	0	10
1	1027082	1027184	1	1	1	70	0	6
1	1126733	1127044	2	2	1	123	0	21
1	1148200	1148268	2	2	1	105	0	23
1	1148633	1148716	2	2	1	262	0	26
1	1157079	1157773	2	2	1	55	0	28
